cycle,race,state,candidates,endorsements
2018,House,California,Young Kim (R),"Tom Lackey, Assemblyman[87]"
2018,House,California,Young Kim (R),"Jim Patterson, Assemblyman[87]"
2018,House,California,Young Kim (R),"Jim Silva, Former Assemblyman/Supervisor[87]"
2018,House,California,Young Kim (R),"David Hadley, Former Assemblyman[87]"
2018,House,California,Young Kim (R),Local-level officials
2018,House,California,Young Kim (R),"Cecilia Hupp, Mayor, City of Brea[87]"
2018,House,California,Young Kim (R),"Marty Simonoff, Councilman, City of Brea[87]"
2018,House,California,Young Kim (R),"Paul Ruiz, Clerk of the Board, Brea Unified School District[87]"
2018,House,California,Young Kim (R),"Virginia Vaughn, Mayor, City of Buena Park[87]"
2018,House,California,Young Kim (R),"Patsy Marshall, Former Mayor, City of Buena Park[87]"
2018,House,California,Young Kim (R),"James Gomez, Councilman, City of La Habra[87]"
2018,House,California,Young Kim (R),"Mark Perumean, President of the Board of Directors, La Habra Heights County Water District[87]"
2018,House,California,Young Kim (R),"Michael Vo, City of Fountain Valley[87]"
2018,House,California,Young Kim (R),"Don Bankhead, Former Mayor, City of Fullerton[87]"
2018,House,California,Young Kim (R),"Pat McKinley, Former Police Chief and Councilman, City of Fullerton[87]"
2018,House,California,Young Kim (R),"Dick Jones, Former Mayor, City of Fullerton[87]"
2018,House,California,Young Kim (R),"Stephanie Klopfenstein, Councilwoman, City of Garden Grove[87]"
2018,House,California,Young Kim (R),"Chris Phan, Former Councilman, City of Garden Grove[87]"
2018,House,California,Young Kim (R),"Michele Steggell, Councilwoman, City of La Palma[87]"
2018,House,California,Young Kim (R),"Rhonda Shader, Councilwoman, City of Placentia[87]"
2018,House,California,Young Kim (R),"Peter Kim, Councilman, City of La Palma[87]"
2018,House,California,Young Kim (R),"Gerard Goedhart, Councilman, City of La Palma[87]"
2018,House,California,Young Kim (R),"Mark Waldman, Former Mayor, City of La Palma[87]"
2018,House,California,Young Kim (R),"Christine Barnes, Former Mayor, City of La Palma[87]"
2018,House,California,Young Kim (R),"Charlene Hatakeyama, Former Mayor, City of La Palma[87]"
2018,House,California,Young Kim (R),"Stacy Berry, Councilwoman, City of Cypress[87]"
2018,House,California,Young Kim (R),"Dr. Prakash Narain, Former Mayor, City of Cypress[87]"
2018,House,California,Young Kim (R),"Tim Keenan, City of Cypress[87]"
2018,House,California,Young Kim (R),"Steve Nagel, Mayor Pro Tem, City of Fountain Valley[87]"
2018,House,California,Young Kim (R),"Dean Grose, Councilman, City of Los Alamitos[87]"
2018,House,California,Young Kim (R),"Joe Carcchio, Councilman, City of Huntington Beach[87]"
2018,House,California,Young Kim (R),"Mike Posey, Mayor, City of Huntington Beach[87]"
2018,House,California,Young Kim (R),"Patrick Brenden, Councilman, City of Huntington Beach[87]"
2018,House,California,Young Kim (R),"Michael Gates, City Attorney, City of Huntington Beach[87]"
2018,House,California,Young Kim (R),"Cary C. Chen, President of Rowland Unified School District school board"
2018,House,California,Young Kim (R),"Carol Chen, Former Mayor, City of Cerritos[87]"
2018,House,California,Young Kim (R),"George Ray, Councilman, City of Cerritos[87]"
2018,House,California,Young Kim (R),"Bruce Barrows, Former Mayor, City of Cerritos[87]"
2018,House,California,Young Kim (R),"Jim Edwards, Councilman, City of Cerritos[87]"
2018,House,California,Young Kim (R),"Diane Dixon, Councilwoman, City of Newport Beach[87]"
2018,House,California,Young Kim (R),"Kimberly Ho, Councilwoman, City of Westminster[87]"
2018,House,California,Young Kim (R),"Tony Lam, Former Councilman, City of Westminster[87]"
2018,House,California,Young Kim (R),"David Shawver, Mayor, City of Stanton[87]"
2018,House,California,Young Kim (R),"Al Ethans, Councilman, City of Stanton[87]"
2018,House,California,Young Kim (R),"Rigoberto Ramirez, Councilman, City of Stanton[87]"
2018,House,California,Young Kim (R),"Ed Royce, Sr., Former Mayor, City of Stanton[87]"
2018,House,California,Young Kim (R),"Greg Raths, Mayor Pro Tem, City of Mission Viejo[87]"
2018,House,California,Young Kim (R),"Laurie Davies, Councilwoman, City of Laguna Niguel[87]"
2018,House,California,Young Kim (R),"Diana C. Fascenelli, Councilwoman, City of Villa Park[87]"
2018,House,California,Young Kim (R),"Robbie Pitts, Councilman, City of Villa Park[87]"
2018,House,California,Young Kim (R),"Tara Campbell, Councilwoman, City of Yorba Linda[87]"
2018,House,California,Young Kim (R),"Tony Rackauckas, DA, Orange County DA[87]"
2018,House,California,Young Kim (R),"Sandra Hutchens, Sheriff, OC Sherriff[87]"
2018,House,California,Young Kim (R),"Michelle Steel, Supervisor, OC Board of Supervisors[87]"
2018,House,California,Young Kim (R),"Michael Antonovich, LA County Supervisor (Ret.)[87]"
2018,House,California,Young Kim (R),"Cynthia Coad, Former Supervisor, OC Board of Supervisors[87]"
2018,House,California,Young Kim (R),Educators
2018,House,California,Young Kim (R),"Baltes, Trustee, La Habra City School District[87]"
2018,House,California,Young Kim (R),"Jack Bedell, Trustee President, OC Board of Education[87]"
2018,House,California,Young Kim (R),"Soo Yoo, President of the Board, ABC USD[87]"
2018,House,California,Young Kim (R),"James Na, Clerk of the Board, Chino Valley Unified School District[87]"
2018,House,California,Young Kim (R),"Janny Meyer, Fullerton School District[87]"
2018,House,California,Young Kim (R),"Hilda Sugarman, Fullerton School District[87]"
2018,House,California,Young Kim (R),"Alexandria Coronado, Former Trustee, Anaheim Board of Education[87]"
2018,House,California,Young Kim (R),"Ryan Bent, Trustee, North OC Community College District[87]"
2018,House,California,Young Kim (R),"Norman Hsu, Retired Board Member, Hacienda La Puente USD[87]"
2018,House,California,Young Kim (R),"Dr. Joseph Chang, Board Trustee, Hacienda LA Puente USD[87]"
2018,House,California,Young Kim (R),"Dr. Chae-Jin Lee, Claremont McKenna College[87]"
2018,House,California,Young Kim (R),Other individuals
2018,House,California,Young Kim (R),"Michael Schroeder, Former California Republican Party Chairman[87]"
2018,House,California,Young Kim (R),"John Jungmin Kim, Former Chairman, CA Acupuncture Board[87]"
2018,House,California,Young Kim (R),"Charles Kim, Former Vice Chair, CA Acupuncture Board[87]"
2018,House,California,Young Kim (R),"Nancy Lee, President, BKSCA[87]"
2018,House,California,Young Kim (R),"Michael Kim, Former Planning Commissioner, City of Brea[87]"
2018,House,California,Young Kim (R),"John and Terri Briscoe, Former President, CRA (ID only)[87]"
2018,House,California,Young Kim (R),"Josie Anderson, Retired Social Services Manager, City of La Habra[87]"
2018,House,California,Young Kim (R),"Ed Laird, LCOC Member[87]"
2018,House,California,Young Kim (R),"Elvira Moreno, President, Rep Club North Orange County[87]"
2018,House,California,Young Kim (R),"John Hsu, STC Leadership Academy, Rowland Heights[87]"
2018,House,California,Young Kim (R),"Jim Horn, retired American Diplomat, Author, Activist[87]"
2018,House,California,Young Kim (R),"One Chu, RH Parents and Education Foundation[87]"
2018,House,California,Young Kim (R),"Michael Zhang, Esq., Law Offices of Michael Zhang, Chinese Community TV Personality and Leader[87]"
2018,House,California,Young Kim (R),Organizations
2018,House,California,Young Kim (R),Republican Party of Orange County[77][87]
2018,House,California,Young Kim (R),National Association of Women Business Owners[88]
2018,House,California,Shawn Nelson (R),U.S. Representatives
2018,House,California,Shawn Nelson (R),"Dana Rohrabacher, (R-CA-48)[citation needed]"
2018,House,California,Shawn Nelson (R),State Senators
2018,House,California,Shawn Nelson (R),John Moorlach (R-37)[citation needed]
2018,House,California,Shawn Nelson (R),State Assembly members
2018,House,California,Shawn Nelson (R),Phillip Chen (R-55)[citation needed]
2018,House,California,Shawn Nelson (R),Local-level officials
2018,House,California,Shawn Nelson (R),"Kathryn Barger, Los Angeles County Supervisor[citation needed]"
2018,House,California,Shawn Nelson (R),"Andrew Do, Orange County Supervisor[citation needed]"
2018,House,California,Shawn Nelson (R),"Curt Hagman, San Bernardino County Supervisor[citation needed]"
2018,House,California,Shawn Nelson (R),Other individuals
2018,House,California,Shawn Nelson (R),"Robert O'Neill, Navy SEAL combat veteran[citation needed]"
2018,House,California,Shawn Nelson (R),Organizations
2018,House,California,Shawn Nelson (R),California Republican Assembly[citation needed]
2018,House,California,Shawn Nelson (R),Lincoln Club of Orange County[89]
2018,House,California,Shawn Nelson (R),Newspapers
