region,white,black,hispanic,aapi,other
California District 34,0.123728814,0.044610169,0.616169492,0.190169492,0.025322034
California District 35,0.169830508,0.063627119,0.612169492,0.12559322,0.028779661
California District 36,0.575491525,0.035016949,0.154542373,0.177355932,0.05759322
California District 37,0.146,0.236169492,0.503355932,0.073220339,0.041254237
California District 38,0.150886471,0.019220991,0.582731618,0.224075392,0.023085528
California District 39,0.223661017,0.087457627,0.585423729,0.06620339,0.037254237
California District 40,0.516033898,0.017050847,0.227627119,0.193220339,0.046067797
California District 41,0.482271186,0.049118644,0.342305085,0.080711864,0.04559322
California District 42,0.206772652,0.065014745,0.610758957,0.083454798,0.033998847
California District 43,0.07959322,0.249830508,0.540677966,0.093355932,0.036542373
California District 44,0.144033898,0.11159322,0.579220339,0.126474576,0.038677966
California District 45,0.275016949,0.021627119,0.272610169,0.394949153,0.03579661
California District 46,0.172440678,0.019423729,0.611661017,0.170033898,0.026440678
California District 47,0.530390861,0.015322553,0.159937625,0.242753992,0.051594969
California District 48,0.570731211,0.030950202,0.262144479,0.073527916,0.062646191
California District 49,0.609728814,0.022033898,0.244881356,0.068711864,0.054644068
California District 50,0.578644068,0.027152542,0.195762712,0.142305085,0.056135593
California District 51,0.485542863,0.056811634,0.226060134,0.168434968,0.063150402
California District 52,0.152779661,0.077559322,0.572372881,0.158779661,0.038508475
Colorado,0.651130226,0.038307662,0.219043809,0.035407081,0.056111222
Colorado District 1,0.587966102,0.079864407,0.244474576,0.039220339,0.048474576
Colorado District 2,0.786636835,0.009424048,0.12237703,0.036441913,0.045120174
Colorado District 3,0.701094878,0.008372598,0.227788889,0.008711569,0.054032067
Colorado District 4,0.784602868,0.017322621,0.118241296,0.035018136,0.044815078
Colorado District 5,0.690925731,0.056709942,0.154604929,0.032134504,0.065624894
Colorado District 6,0.597932203,0.09579661,0.194169492,0.060237288,0.051864407
Colorado District 7,0.774143249,0.01359276,0.132910749,0.031253178,0.048100064
Colorado District 8,0.561099624,0.017389241,0.345005254,0.03420223,0.042303651
Connecticut,0.632063206,0.100010001,0.173017302,0.04750475,0.04740474
Connecticut District 1,0.608901997,0.143360792,0.155022204,0.056374792,0.036340215
Connecticut District 2,0.805654429,0.037086003,0.077460253,0.036916506,0.04288281
Connecticut District 3,0.646915254,0.126745763,0.143050847,0.046881356,0.03640678
Connecticut District 4,0.595220339,0.114610169,0.198610169,0.054881356,0.036677966
Connecticut District 5,0.673649954,0.065459846,0.179870504,0.036814807,0.044204888
Delaware,0.586117223,0.215043009,0.105021004,0.043108622,0.050710142
Florida,0.515051505,0.145014501,0.265026503,0.02980298,0.04510451
Florida District 1,0.721583783,0.121495644,0.066883623,0.029289128,0.060747822
Florida District 2,0.654847458,0.21779661,0.064237288,0.020983051,0.042135593
Florida District 3,0.677277196,0.145123564,0.106376487,0.032034984,0.039187769
Florida District 4,0.553254237,0.296033898,0.078169492,0.027254237,0.045288136
Florida District 5,0.663666667,0.108966667,0.106766667,0.057833333,0.062766667
Florida District 6,0.74759322,0.099627119,0.097762712,0.015728814,0.039288136
Florida District 7,0.645876411,0.084234433,0.189722382,0.038846141,0.041320633
Florida District 8,0.749093128,0.082482964,0.100518697,0.02359562,0.044309591
Florida District 9,0.323389831,0.091186441,0.500372881,0.042881356,0.042169492
Florida District 10,0.38534287,0.225822853,0.286261483,0.050099997,0.052472798
Florida District 11,0.632724314,0.110165757,0.170943358,0.038303786,0.047862784
Florida District 12,0.783024304,0.040507101,0.117182468,0.019558659,0.039727467
Florida District 13,0.771958371,0.058849453,0.095562561,0.034102851,0.039526764
Florida District 14,0.494220535,0.16507915,0.259652215,0.041083353,0.039964747
Florida District 15,0.549220339,0.130644068,0.227457627,0.051898305,0.040779661
Florida District 16,0.645152542,0.101084746,0.186711864,0.029050847,0.038
Florida District 17,0.790833277,0.046003119,0.115397654,0.015899383,0.031866567
Florida District 18,0.59797973,0.11657232,0.236805532,0.015931663,0.032710756
Florida District 19,0.740745763,0.050237288,0.162237288,0.017559322,0.029220339
Florida District 20,0.23539781,0.468083664,0.229770501,0.026204278,0.040543747
Florida District 21,0.680847458,0.110135593,0.151423729,0.022033898,0.035559322
Florida District 22,0.553152542,0.141118644,0.246542373,0.027457627,0.031728814
Florida District 23,0.584101695,0.111762712,0.205084746,0.03620339,0.062847458
Florida District 24,0.182271186,0.383118644,0.384576271,0.016338983,0.033694915
Florida District 25,0.343513779,0.145689977,0.422595844,0.049693231,0.038507169
Florida District 26,0.196820231,0.045628665,0.732194312,0.011220719,0.014136072
Florida District 27,0.168779661,0.04759322,0.741762712,0.020033898,0.021830508
Florida District 28,0.152299922,0.079658317,0.733534456,0.016474018,0.018033287
Georgia,0.500749625,0.305847076,0.104947526,0.044977511,0.043478261
Georgia District 1,0.604,0.264440678,0.06779661,0.02359322,0.040169492
Georgia District 2,0.427234822,0.476185633,0.051188176,0.014102173,0.031289196
Georgia District 3,0.668372881,0.219966102,0.053322034,0.020813559,0.037525424
Georgia District 4,0.282576271,0.517830508,0.101254237,0.060949153,0.037389831
Georgia District 5,0.379084746,0.471525424,0.066644068,0.045254237,0.037491525
Georgia District 6,0.666271186,0.086067797,0.091084746,0.114372881,0.04220339
Georgia District 7,0.327807722,0.273466897,0.212719075,0.14969999,0.036306315
Georgia District 8,0.605220339,0.288440678,0.060983051,0.016033898,0.029322034
Georgia District 9,0.682881356,0.093694915,0.128881356,0.059423729,0.035118644
Georgia District 10,0.661988542,0.213397064,0.065086952,0.02298383,0.036543612
Georgia District 11,0.639953897,0.162480084,0.112241093,0.038204685,0.047120241
Georgia District 12,0.546474576,0.350610169,0.048677966,0.019457627,0.034779661
Georgia District 13,0.188174232,0.638102992,0.105298867,0.033109438,0.035314472
